Gerrit;soccer;soccer;car;difficult;difficult;soccer;difficult;soccer;car;difficult;car;;;;
Gerrit;soccer;boring;car;boring;contract;boring;difficult;soccer;car;soccer;contract;boring;car;energy;soccer
Gerrit;car;contract;sweet;soccer;boring;difficult;sweet;;;;;;;;
Gerrit;car;sweet;soccer;soccer;soccer;soccer;difficult;difficult;soccer;;;;;;
Gerrit;soccer;contract;soccer;car;car;soccer;car;soccer;sweet;difficult;;;;;
Gerrit;contract;soccer;sweet;car;contract;difficult;sweet;contract;car;soccer;soccer;car;;;
Gerrit;sweet;contract;sweet;boring;difficult;soccer;;;;;;;;;
Gerrit;sweet;boring;soccer;sweet;contract;sweet;car;;;;;;;;
Gerrit;sweet;difficult;soccer;boring;contract;sweet;contract;;;;;;;;
Gerrit;soccer;soccer;car;contract;difficult;soccer;boring;sweet;boring;;;;;;
Gerrit;sweet;contract;car;sweet;soccer;boring;soccer;contract;;;;;;;
Gerrit;soccer;soccer;contract;soccer;contract;car;difficult;car;soccer;soccer;contract;;;;
Gerrit;soccer;soccer;energy;soccer;car;soccer;sweet;car;car;sweet;contract;difficult;energy;car;difficult
Gerrit;difficult;contract;contract;contract;soccer;sweet;soccer;car;difficult;difficult;difficult;;;;
Gerrit;boring;contract;soccer;boring;sweet;car;soccer;energy;car;boring;soccer;contract;contract;sweet;car
Gerrit;contract;soccer;soccer;car;soccer;car;car;;;;;;;;
Gerrit;difficult;car;difficult;difficult;soccer;;;;;;;;;;
Gerrit;sweet;boring;car;car;contract;contract;soccer;contract;;;;;;;
Gerrit;sweet;soccer;car;car;car;sweet;difficult;car;contract;;;;;;
Gerrit;car;contract;car;energy;difficult;soccer;contract;;;;;;;;
Gerrit;boring;soccer;energy;contract;soccer;boring;sweet;sweet;difficult;boring;;;;;
Gerrit;car;car;sweet;soccer;contract;soccer;;;;;;;;;
Gerrit;boring;contract;car;difficult;sweet;car;sweet;car;car;;;;;;
Gerrit;sweet;sweet;sweet;soccer;soccer;car;contract;car;difficult;soccer;difficult;contract;car;;
Gerrit;soccer;boring;energy;car;difficult;car;soccer;car;sweet;soccer;sweet;sweet;sweet;sweet;soccer
Gerrit;car;energy;sweet;car;contract;contract;soccer;difficult;sweet;soccer;sweet;contract;sweet;energy;
Gerrit;soccer;soccer;car;contract;contract;sweet;difficult;;;;;;;;
Gerrit;boring;car;car;difficult;soccer;energy;;;;;;;;;
Gerrit;car;soccer;soccer;sweet;contract;car;soccer;car;difficult;soccer;contract;soccer;;;
Gerrit;contract;boring;soccer;contract;difficult;difficult;soccer;boring;sweet;boring;contract;contract;;;
Gerrit;sweet;car;soccer;contract;boring;;;;;;;;;;
Gerrit;contract;sweet;sweet;car;soccer;;;;;;;;;;
Gerrit;energy;sweet;contract;car;car;difficult;car;soccer;soccer;soccer;soccer;sweet;contract;;
Gerrit;soccer;sweet;sweet;car;sweet;car;difficult;contract;boring;car;soccer;;;;
Gerrit;contract;sweet;car;car;soccer;car;contract;car;car;car;sweet;car;;;
Gerrit;difficult;boring;car;sweet;soccer;;;;;;;;;;
Gerrit;soccer;contract;soccer;difficult;contract;sweet;boring;contract;car;;;;;;
Gerrit;soccer;sweet;soccer;soccer;sweet;;;;;;;;;;
Gerrit;car;difficult;car;difficult;soccer;energy;;;;;;;;;
Gerrit;difficult;car;difficult;soccer;soccer;soccer;boring;;;;;;;;
Gerrit;sweet;boring;sweet;soccer;car;car;car;car;sweet;boring;car;boring;difficult;soccer;soccer
Gerrit;sweet;difficult;difficult;boring;soccer;contract;soccer;car;car;contract;car;car;soccer;sweet;
Gerrit;soccer;car;difficult;sweet;boring;car;sweet;contract;contract;;;;;;
Gerrit;car;sweet;contract;sweet;sweet;car;soccer;sweet;;;;;;;
Gerrit;sweet;soccer;difficult;car;sweet;car;difficult;car;;;;;;;
Gerrit;contract;car;energy;sweet;soccer;car;difficult;soccer;sweet;contract;soccer;soccer;soccer;;
Gerrit;soccer;difficult;sweet;contract;energy;soccer;difficult;soccer;car;car;boring;contract;sweet;;
Gerrit;soccer;energy;sweet;boring;car;contract;sweet;;;;;;;;
Gerrit;soccer;difficult;car;sweet;soccer;difficult;sweet;;;;;;;;
Gerrit;contract;car;sweet;difficult;sweet;;;;;;;;;;
Truus;boring;boring;energy;soccer;car;boring;boring;energy;contract;boring;energy;contract;car;energy;
Truus;energy;boring;energy;boring;car;energy;energy;energy;energy;sweet;energy;;;;
Truus;car;boring;energy;boring;car;;;;;;;;;;
Truus;car;boring;energy;boring;car;soccer;energy;car;energy;boring;soccer;car;energy;boring;
Truus;boring;car;energy;contract;boring;sweet;difficult;energy;boring;energy;;;;;
Truus;energy;energy;soccer;difficult;boring;car;boring;sweet;energy;energy;boring;boring;soccer;soccer;boring
Truus;contract;boring;energy;contract;energy;;;;;;;;;;
Truus;contract;soccer;boring;boring;boring;boring;energy;boring;energy;;;;;;
Truus;boring;boring;boring;boring;boring;boring;energy;contract;boring;boring;boring;boring;soccer;;
Truus;contract;boring;soccer;boring;contract;boring;;;;;;;;;
Truus;sweet;difficult;difficult;energy;sweet;energy;;;;;;;;;
Truus;boring;car;car;energy;boring;energy;soccer;energy;energy;sweet;boring;soccer;;;
Truus;sweet;soccer;car;car;boring;energy;boring;boring;energy;boring;;;;;
